clone_pair,start_commit,end_commit,genealogy
torch/nn/qat/modules/conv.py^60^75+torch/nn/qat/modules/conv.py^162^176,f4baa83eae,105e58a552,"C,f5c7e5406b,13,1-I,98207aabf6,21,3"
caffe2/python/context.py^93^100+torch/autocast_mode.py^187^192,324673a537,5347dab851,"C,b004307252,1,2-C,1022443168,1,2-I,1ec732bc46,8,2"
caffe2/python/layers/tags.py^106^114+torch/autocast_mode.py^187^192,324673a537,5347dab851,"C,b004307252,1,2-C,1022443168,1,2-I,1ec732bc46,8,2"
torch/fx/experimental/fx2trt/converters/add.py^10^27+torch/fx/experimental/fx2trt/converters/add.py^29^42,8e0998ca70,3670466201,"C,feefc94573,2,1"
torch/fx/experimental/fx2trt/converters/add.py^10^27+torch/fx/experimental/fx2trt/converters/mul.py^28^40,8e0998ca70,3670466201,"C,feefc94573,2,1"
torch/fx/experimental/fx2trt/converters/acc_ops_converters.py^131^141+torch/fx/experimental/fx2trt/converters/acc_ops_converters.py^142^152,8e0998ca70,fd198a2fea,"C,9e8281fd2f,40,3-C,239b38268b,8,3-I,0d8a8a2e41,62,3"
torch/fx/experimental/fx2trt/converters/acc_ops_converters.py^573^605+torch/fx/experimental/fx2trt/converters/acc_ops_converters.py^716^747,8e0998ca70,3670466201,"C,239b38268b,3,3-C,0d8a8a2e41,14,3-C,e23827e6d6,20,3"
torch/fx/experimental/fx2trt/converters/acc_ops_converters.py^1111^1141+torch/fx/experimental/fx2trt/converters/acc_ops_converters.py^1143^1172,061b36e2f5,3670466201,"C,10dfa58eba,15,3-C,839eaa2e91,12,3-C,01b8162d00,15,3-C,d4a86c1f3b,3,1-I,feefc94573,7,2-I,3d6d4f4322,30,3-I,2a5116e159,48,3-I,115526cc88,25,2-I,74849d9188,5,2-I,239b38268b,4,3-I,e23827e6d6,30,3-I,66939e3b94,8,3"
torch/distributed/algorithms/quantization/quantization.py^34^48+torch/distributed/algorithms/quantization/quantization.py^69^84,c545b099aa,95c148e502,"C,3b284ab024,18,3"
torch/utils/data/communication/protocol.py^68^76+torch/utils/data/communication/protocol.py^95^104,82174330d0,95c148e502,"I,39fb855d91,16,3"
torch/utils/data/communication/protocol.py^83^88+torch/utils/data/communication/protocol.py^89^94,82174330d0,95c148e502,"I,39fb855d91,9,3"
torch/utils/data/communication/protocol.py^122^129+torch/utils/data/communication/protocol.py^130^137,82174330d0,95c148e502,"C,39fb855d91,8,3"
torch/nn/quantized/_reference/modules/conv.py^18^23+torch/nn/quantized/_reference/modules/linear.py^89^94,8f88f797db,d39ad0543a,"I,5723c03bad,11,3"
torch/nn/quantized/_reference/modules/conv.py^24^33+torch/nn/quantized/_reference/modules/linear.py^95^104,8f88f797db,d39ad0543a,"I,5723c03bad,20,3"
