clone_pair,start_commit,end_commit,genealogy
jax/core.py^420^426+jax/interpreters/xla.py^222^227,27bedc2a1,fc2a12c47,"I,d55ea510e,2,2-I,3290e16a9,4,2-I,75278309a,2,2-I,40805e4f1,8,2"
jax/abstract_arrays.py^111^116+jax/interpreters/xla.py^282^287,27bedc2a1,0080c8954,"I,42dd736af,7,1-I,1e7d13b5f,8,1"
jax/interpreters/xla.py^288^293+jax/interpreters/xla.py^294^299,27bedc2a1,267a4ca4c,"I,75278309a,2,1-I,a7c2cdea6,5,1-I,2bd010ae8,2,1"
jax/core.py^42^48+jax/interpreters/xla.py^262^270,16092bdb3,fc2a12c47,"I,e14052046,4,2-I,34065df24,8,1-I,177e7cf31,2,1-I,4236eb2b5,8,2-I,6614f9489,1,1-I,2bd010ae8,13,2-I,fa89f34be,3,2-I,2ab00151e,2,2-I,32319e1bc,2,2-I,40805e4f1,13,2"
jax/core.py^97^121+jax/interpreters/partial_eval.py^360^386,16092bdb3,cc1d2aaae,"I,5aef18f89,4,1-I,1fcebbaa0,10,2-I,235334544,12,2-I,1e7d13b5f,3,1-I,68b32bf70,6,1-I,abbc70b20,3,2-I,89e3840e6,5,2-I,6124f703a,1,2-I,34065df24,24,3-I,042df4ebf,2,1-I,177e7cf31,2,1-I,3290e16a9,8,3-I,75278309a,11,2-I,4236eb2b5,3,1-I,6614f9489,3,1-I,bdd791566,4,2-I,2ab00151e,6,3-I,32319e1bc,5,3-I,823ad552d,2,2"
jax/core.py^420^426+jax/interpreters/xla.py^232^237,16092bdb3,fc2a12c47,"I,3994829a6,4,2-I,2206be295,13,2-I,eb0137be3,3,2-I,8bd1a46ce,3,2-I,52cafb374,2,2-I,a15aa9bd4,8,2-I,013c01e6a,3,2-I,47df7b95c,2,2-I,f60184e12,8,2-I,57c2fcb0c,11,2-I,2bd010ae8,12,2-I,40805e4f1,7,2"
jax/interpreters/partial_eval.py^55^65+jax/interpreters/partial_eval.py^210^220,16092bdb3,cc1d2aaae,"I,0a8810d9b,3,2-I,1c134f8a6,8,3-I,abbc70b20,8,3-I,b1cb3a5de,1,2-I,8f902452a,1,2-I,c1ccbdf1a,11,2-I,34065df24,6,1-I,2dac55a0b,6,2-I,75278309a,5,2-I,4236eb2b5,9,2-I,f4b05bc9e,7,2-I,2678a4647,2,2"
jax/interpreters/partial_eval.py^55^65+jax/interpreters/partial_eval.py^230^240,16092bdb3,cc1d2aaae,"I,1fcebbaa0,2,2-I,1c134f8a6,2,1-I,abbc70b20,8,3-I,34065df24,6,1"
jax/interpreters/partial_eval.py^210^220+jax/interpreters/partial_eval.py^230^240,16092bdb3,cc1d2aaae,"I,0a8810d9b,3,1-I,1fcebbaa0,2,2-I,1c134f8a6,6,1-I,abbc70b20,4,3-I,b1cb3a5de,1,1-I,8f902452a,1,1-I,c1ccbdf1a,11,1-I,2dac55a0b,6,1-I,75278309a,5,1-I,4236eb2b5,9,1-I,f4b05bc9e,7,1-I,2678a4647,2,1"
jax/core.py^42^48+jax/interpreters/xla.py^267^275,81c278035,fc2a12c47,"I,e14052046,8,2-I,ccb203c89,5,2-I,34065df24,8,1-I,177e7cf31,2,1-I,4236eb2b5,3,2-I,5520948b0,2,2-I,6614f9489,1,1-I,2bd010ae8,2,2-I,40805e4f1,7,2"
jax/core.py^420^426+jax/interpreters/xla.py^237^242,81c278035,267a4ca4c,"I,8bd1a46ce,5,2-I,a15aa9bd4,3,2-I,5290c03a1,2,2-I,d55ea510e,4,2-I,2bd010ae8,5,2"
jax/abstract_arrays.py^111^116+jax/interpreters/xla.py^287^292,81c278035,0080c8954,"I,42dd736af,7,1-I,1e7d13b5f,8,1"
jax/interpreters/xla.py^293^298+jax/interpreters/xla.py^299^304,81c278035,cc1d2aaae,"I,e14052046,2,2-I,42647e013,2,2"
jax/core.py^42^48+jax/interpreters/xla.py^268^276,b1686a352,fc2a12c47,"I,e14052046,10,2-I,ccb203c89,5,2-I,34065df24,8,1-I,177e7cf31,2,1-I,4236eb2b5,2,2-I,5520948b0,2,2-I,6614f9489,1,1-I,2bd010ae8,2,2-I,40805e4f1,6,2"
jax/core.py^105^129+jax/interpreters/partial_eval.py^411^437,b1686a352,cc1d2aaae,"I,5aef18f89,4,1-I,07260f657,2,1-I,1e7d13b5f,3,1-I,34065df24,7,3-I,177e7cf31,2,1-I,75278309a,2,2-I,4236eb2b5,3,2-I,2678a4647,1,2-I,6614f9489,4,2-I,4a20eea82,9,2-I,2ab00151e,2,1-I,32319e1bc,1,1"
jax/core.py^428^434+jax/interpreters/xla.py^238^243,b1686a352,267a4ca4c,"I,286ec51f6,2,2-I,8bd1a46ce,5,2-I,5290c03a1,2,2-I,d55ea510e,4,2-I,2bd010ae8,3,2"
jax/abstract_arrays.py^111^116+jax/interpreters/xla.py^288^293,b1686a352,0080c8954,"I,42dd736af,7,1-I,1e7d13b5f,8,1"
jax/interpreters/xla.py^294^299+jax/interpreters/xla.py^300^305,b1686a352,cc1d2aaae,"I,e14052046,1,2-I,42647e013,2,1"
jax/interpreters/partial_eval.py^57^67+jax/interpreters/partial_eval.py^261^271,b1686a352,cc1d2aaae,"I,1c134f8a6,2,1-I,abbc70b20,10,3-I,34065df24,4,1-I,4236eb2b5,7,2-I,2678a4647,6,2-I,6614f9489,2,2-I,823ad552d,2,1"
jax/interpreters/partial_eval.py^57^67+jax/interpreters/partial_eval.py^281^291,b1686a352,36c882ba4,"I,ace14bbb9,11,2"
jax/interpreters/partial_eval.py^261^271+jax/interpreters/partial_eval.py^281^291,b1686a352,36c882ba4,"I,ace14bbb9,11,2"
jax/core.py^42^48+jax/interpreters/xla.py^271^279,157ad4a65,fc2a12c47,"I,e14052046,6,2-I,ccb203c89,5,2-I,34065df24,8,1-I,177e7cf31,2,1-I,75278309a,2,2-I,5520948b0,2,2-I,6614f9489,1,1-I,2bd010ae8,3,2-I,40805e4f1,11,2"
jax/core.py^428^434+jax/interpreters/xla.py^241^246,157ad4a65,267a4ca4c,"I,286ec51f6,2,2-I,8bd1a46ce,3,2-I,87d959089,1,2-I,d55ea510e,4,2-I,75278309a,4,2-I,2bd010ae8,5,2"
jax/abstract_arrays.py^111^116+jax/interpreters/xla.py^291^296,157ad4a65,0080c8954,"I,42dd736af,7,1-I,1e7d13b5f,8,1"
jax/interpreters/xla.py^297^302+jax/interpreters/xla.py^303^308,157ad4a65,cc1d2aaae,"I,e14052046,7,3-I,42647e013,2,1"
jax/scipy/special.py^136^168+jax/scipy/special.py^183^209,6af073e4f,cc1d2aaae,"I,0cf14837c,4,3-I,c953ca2d8,8,2"
